enum_name,enum_value
enum_analise_relatorio_origem,flagship
enum_analise_relatorio_origem,terramatch
enum_analise_relatorio_status,aprovado
enum_analise_relatorio_status,em_analise
enum_analise_relatorio_status,precisa_atualizacao
enum_analise_relatorio_status,rascunho
enum_analise_relatorio_tipo,implantacao
enum_analise_relatorio_tipo,manutencao
enum_analise_relatorio_tipo,monitoramento
enum_analise_relatorio_tipo,projeto
enum_analise_relatorio_tipo,sitio
enum_arvore_plantada_dap_10cm_tipo_arvore,exotica
enum_arvore_plantada_dap_10cm_tipo_arvore,invasora
enum_arvore_plantada_dap_10cm_tipo_arvore,morta
enum_arvore_plantada_dap_10cm_tipo_arvore,nao_identificado
enum_arvore_plantada_dap_10cm_tipo_arvore,nativa
enum_arvore_tipo_arvore,exotica
enum_arvore_tipo_arvore,invasora
enum_arvore_tipo_arvore,morta
enum_arvore_tipo_arvore,nao_identificado
enum_arvore_tipo_arvore,nativa
enum_convite_role,admin
enum_convite_role,user
enum_monitoramento_compactacao_solo,alta
enum_monitoramento_compactacao_solo,baixa
enum_monitoramento_compactacao_solo,media
enum_monitoramento_conservacao_solo31,alta
enum_monitoramento_conservacao_solo31,baixa
enum_monitoramento_conservacao_solo31,media
enum_monitoramento_conservacao_solo32,alta
enum_monitoramento_conservacao_solo32,baixa
enum_monitoramento_conservacao_solo32,media
enum_monitoramento_fertilidade_solo,alta
enum_monitoramento_fertilidade_solo,baixa
enum_monitoramento_fertilidade_solo,media
enum_monitoramento_fertilidade_solo,muito_baixa
enum_monitoramento_invasoras_nivel,alto
enum_monitoramento_invasoras_nivel,baixo
enum_monitoramento_invasoras_nivel,medio
enum_monitoramento_invasoras_nivel,nenhum
enum_parcela_monitoramento_tipo_parcela,30x15
enum_parcela_monitoramento_tipo_parcela,30x30
enum_parcela_monitoramento_tipo_parcela,3x3
enum_parcela_monitoramento_tipo_parcela,outro
enum_subparcela_arvore_tipo_arvore,exotica
enum_subparcela_arvore_tipo_arvore,invasora
enum_subparcela_arvore_tipo_arvore,morta
enum_subparcela_arvore_tipo_arvore,nao_identificado
enum_subparcela_arvore_tipo_arvore,nativa
enum_users_role,admin
enum_users_role,superadmin
enum_users_role,user
enum_vcode_tipo,cadastro
enum_vcode_tipo,recuperacao_senha
